"DHMS regions identified for K27, K4, and K36",,,,,
,,,,,
"K27, ESC enriched","K27, NPC enriched","K4, ESC enriched","K4, NPC enriched","K36, ESC enriched","K36, NPC enriched"
chr13:36728000-36743000,,chr4:148891000-148896000,,,
chr13:37784000-37788000,,chr4:148898000-148900000,,,
chr13:37806000-37809000,,chr4:148931000-148933000,,,
chr13:40747000-40749000,,chr4:148945000-148947000,,,
chr13:40751000-40754000,,chr4:148963000-148965000,,,
chr13:41830000-41831000,,chr4:148976000-148977000,,,
chr13:42312000-42314000,,chr4:148980000-148983000,,,
chr13:42720000-42721000,,chr4:148987000-148992000,,,
chr13:42925000-42929000,,chr4:149001000-149003000,,,
chr13:43795000-43797000,,chr4:149008000-149010000,,,
chr13:45088000-45091000,,chr4:149032000-149033000,,,
chr13:45974000-45977000,,chr4:149056000-149057000,,,
chr13:46426000-46431000,,chr4:149064000-149066000,,,
chr13:48274000-48275000,,chr4:149083000-149089000,,,
chr13:48638000-48639000,,chr4:149102000-149103000,,,
chr13:48668000-48685000,,chr4:149112000-149114000,,,
chr13:48686000-48689000,,chr4:149495000-149496000,,,
chr13:48742000-48746000,,chr4:149505000-149507000,,,
chr13:48792000-48795000,,chr4:149521000-149523000,,,
chr13:48881000-48883000,,chr4:149669000-149671000,,,
chr13:49157000-49160000,,chr4:149723000-149724000,,,
chr13:49227000-49230000,,chr4:149733000-149738000,,,
chr13:49256000-49260000,,chr4:149742000-149747000,,,
chr13:49272000-49281000,,chr4:149808000-149812000,,,
chr13:51418000-51423000,,chr4:149856000-149857000,,,
chr13:51577000-51582000,,chr4:149951000-149953000,,,
chr13:51854000-51862000,,chr4:150086000-150088000,,,
chr13:52087000-52090000,,chr4:150245000-150246000,,,
chr13:52990000-52994000,,chr4:150725000-150727000,,,
chr13:53472000-53477000,,chr4:150746000-150747000,,,
chr13:54170000-54172000,,chr4:150763000-150765000,,,
chr13:54201000-54202000,,chr4:150811000-150813000,,,
chr13:54745000-54752000,,chr4:150827000-150832000,,,
chr13:54756000-54760000,,chr4:150838000-150839000,,,
chr13:54795000-54796000,,chr4:150851000-150854000,,,
chr13:54998000-55018000,,chr4:150875000-150878000,,,
chr13:55162000-55165000,,chr4:150937000-150946000,,,
chr13:55423000-55425000,,chr4:150950000-150953000,,,
chr13:55430000-55431000,,chr4:150957000-150966000,,,
chr13:55480000-55483000,,chr4:150968000-150978000,,,
chr13:55496000-55498000,,chr4:150982000-150983000,,,
chr13:56222000-56238000,,chr4:150995000-150997000,,,
chr13:56448000-56449000,,chr4:151002000-151005000,,,
chr13:56618000-56620000,,chr4:151014000-151015000,,,
chr13:56691000-56695000,,chr4:151105000-151107000,,,
chr13:56758000-56766000,,chr4:151117000-151119000,,,
chr13:56773000-56781000,,chr4:151126000-151128000,,,
chr13:57917000-57920000,,chr4:151129000-151136000,,,
chr13:58039000-58043000,,chr4:151155000-151160000,,,
chr13:58121000-58126000,,chr4:151162000-151163000,,,
chr13:58282000-58286000,,chr4:151168000-151170000,,,
chr13:58462000-58465000,,chr4:151171000-151178000,,,
chr13:58467000-58468000,,chr4:151183000-151186000,,,
chr13:58469000-58472000,,chr4:151189000-151190000,,,
chr13:58816000-58820000,,chr4:151192000-151193000,,,
chr13:59446000-59449000,,chr4:151194000-151199000,,,
chr13:60182000-60186000,,chr4:151203000-151208000,,,
chr13:62897000-62898000,,chr4:151210000-151212000,,,
chr13:63580000-63586000,,chr4:151236000-151238000,,,
chr13:65273000-65275000,,chr4:151390000-151393000,,,
chr13:69954000-69956000,,chr4:151397000-151399000,,,
chr13:70170000-70176000,,chr4:152032000-152033000,,,
chr13:70178000-70179000,,chr4:152062000-152068000,,,
chr13:70201000-70209000,,chr4:152258000-152262000,,,
chr13:71308000-71310000,,chr4:152314000-152315000,,,
chr13:72418000-72435000,,chr4:152325000-152328000,,,
chr13:73089000-73109000,,chr4:152401000-152403000,,,
chr13:73283000-73287000,,chr4:152837000-152838000,,,
chr13:73726000-73740000,,chr4:152867000-152871000,,,
chr13:74312000-74313000,,chr4:152915000-152916000,,,
chr13:74631000-74635000,,chr4:152923000-152927000,,,
chr13:74722000-74728000,,chr4:152938000-152942000,,,
chr13:76519000-76524000,,chr4:152948000-152950000,,,
chr13:78635000-78676000,,chr4:153081000-153082000,,,
chr13:81424000-81428000,,chr4:153141000-153145000,,,
chr13:83995000-84002000,,chr4:153177000-153180000,,,
chr13:84187000-84206000,,chr4:153211000-153216000,,,
chr13:84210000-84213000,,chr4:153282000-153283000,,,
chr13:84816000-84821000,,chr4:153438000-153439000,,,
chr13:89295000-89299000,,chr4:153443000-153445000,,,
chr13:90215000-90216000,,chr4:153478000-153487000,,,
chr13:92215000-92217000,,chr4:153496000-153501000,,,
chr13:92349000-92351000,,chr4:153571000-153576000,,,
chr13:93230000-93234000,,chr4:153585000-153586000,,,
chr13:93895000-93897000,,chr4:153683000-153684000,,,
chr13:94194000-94198000,,chr4:153699000-153701000,,,
chr13:94773000-94779000,,chr4:153742000-153744000,,,
chr13:94872000-94873000,,chr4:153748000-153750000,,,
chr13:95274000-95276000,,chr4:153790000-153791000,,,
chr13:95675000-95687000,,chr4:153804000-153806000,,,
chr13:95695000-95699000,,chr4:153817000-153818000,,,
chr13:95781000-95782000,,chr4:153827000-153831000,,,
chr13:95802000-95805000,,chr4:153844000-153845000,,,
chr13:95808000-95812000,,chr4:153886000-153888000,,,
chr13:96323000-96324000,,chr4:153908000-153909000,,,
chr13:96349000-96351000,,chr4:153910000-153915000,,,
chr13:96544000-96548000,,chr4:153994000-153997000,,,
chr13:96704000-96707000,,chr4:154001000-154008000,,,
chr13:97086000-97090000,,chr4:154011000-154019000,,,
chr13:97231000-97235000,,chr4:154031000-154038000,,,
chr13:98025000-98026000,,chr4:154067000-154068000,,,
chr13:99454000-99456000,,chr4:154095000-154096000,,,
chr13:99458000-99460000,,chr4:154188000-154190000,,,
chr13:99489000-99495000,,chr4:154204000-154206000,,,
chr13:99601000-99607000,,chr4:154295000-154296000,,,
chr13:99672000-99676000,,chr4:154307000-154308000,,,
chr13:99793000-99797000,,chr4:154313000-154314000,,,
chr13:100329000-100330000,,chr4:154495000-154502000,,,
chr13:101207000-101210000,,chr4:154538000-154542000,,,
chr13:104217000-104220000,,chr4:154583000-154584000,,,
chr13:105984000-105985000,,chr4:154614000-154615000,,,
chr13:106174000-106176000,,chr4:154617000-154619000,,,
chr13:108764000-108767000,,chr4:154628000-154629000,,,
chr13:110238000-110239000,,chr4:154635000-154636000,,,
chr13:110328000-110330000,,chr4:154646000-154647000,,,
chr13:111126000-111129000,,chr4:154685000-154686000,,,
chr13:113772000-113774000,,chr4:154806000-154807000,,,
chr13:114108000-114111000,,chr4:154835000-154837000,,,
chr13:114151000-114156000,,chr4:154874000-154880000,,,
chr13:114413000-114414000,,chr4:154902000-154904000,,,
chr13:115286000-115290000,,chr4:154910000-154915000,,,
chr13:115312000-115315000,,chr4:154921000-154923000,,,
chr13:115576000-115582000,,chr4:154976000-154980000,,,
chr13:116052000-116054000,,chr5:3347000-3348000,,,
chr13:116222000-116224000,,chr5:3851000-3852000,,,
chr13:118143000-118146000,,chr5:5579000-5581000,,,
chr14:7110000-7118000,,chr5:5697000-5701000,,,
chr14:10348000-10350000,,chr5:5755000-5756000,,,
chr14:11135000-11140000,,chr5:8373000-8375000,,,
chr14:16453000-16455000,,chr5:8900000-8901000,,,
chr14:19040000-19045000,,chr5:13885000-13886000,,,
chr14:19624000-19627000,,chr5:14031000-14033000,,,
chr14:20474000-20477000,,chr5:14521000-14522000,,,
chr14:20768000-20787000,,chr5:15182000-15183000,,,
chr14:20807000-20810000,,chr5:20479000-20481000,,,
chr14:24151000-24155000,,chr5:20698000-20699000,,,
chr14:24288000-24297000,,chr5:20884000-20885000,,,
chr14:24377000-24380000,,chr5:21185000-21188000,,,
chr14:24431000-24439000,,chr5:21247000-21248000,,,
chr14:25940000-25946000,,chr5:21322000-21323000,,,
chr14:27330000-27350000,,chr5:21377000-21379000,,,
chr14:28547000-28548000,,chr5:22929000-22931000,,,
chr14:28837000-28840000,,chr5:23692000-23693000,,,
chr14:29719000-29729000,,chr5:23771000-23774000,,,
chr14:29761000-29766000,,chr5:23775000-23777000,,,
chr14:29973000-29975000,,chr5:23830000-23837000,,,
chr14:30049000-30052000,,chr5:23858000-23864000,,,
chr14:30097000-30101000,,chr5:23870000-23871000,,,
chr14:30214000-30216000,,chr5:23874000-23876000,,,
chr14:30264000-30265000,,chr5:23893000-23903000,,,
chr14:31290000-31293000,,chr5:23923000-23927000,,,
chr14:32784000-32786000,,chr5:23938000-23939000,,,
chr14:32807000-32810000,,chr5:23944000-23946000,,,
chr14:33047000-33053000,,chr5:23983000-23986000,,,
chr14:33227000-33229000,,chr5:23992000-23994000,,,
chr14:33412000-33415000,,chr5:23995000-23997000,,,
chr14:33645000-33654000,,chr5:24036000-24038000,,,
chr14:33711000-33727000,,chr5:24040000-24041000,,,
chr14:33762000-33769000,,chr5:24042000-24046000,,,
chr14:39921000-39923000,,chr5:24048000-24049000,,,
chr14:45679000-45680000,,chr5:24101000-24103000,,,
chr14:45803000-45808000,,chr5:24239000-24242000,,,
chr14:46010000-46018000,,chr5:24244000-24245000,,,
chr14:46021000-46022000,,chr5:24259000-24269000,,,
chr14:46295000-46297000,,chr5:24288000-24292000,,,
chr14:47043000-47045000,,chr5:24352000-24353000,,,
chr14:47577000-47599000,,chr5:24519000-24520000,,,
chr14:47626000-47633000,,chr5:24609000-24612000,,,
chr14:47634000-47635000,,chr5:25036000-25038000,,,
chr14:47675000-47680000,,chr5:25164000-25166000,,,
chr14:49815000-49820000,,chr5:25177000-25184000,,,
chr14:50661000-50664000,,chr5:25278000-25280000,,,
chr14:50836000-50842000,,chr5:26337000-26339000,,,
chr14:50905000-50914000,,chr5:26401000-26402000,,,
chr14:51234000-51239000,,chr5:27148000-27150000,,,
chr14:51249000-51250000,,chr5:27235000-27237000,,,
chr14:53385000-53388000,,chr5:27380000-27381000,,,
chr14:53432000-53436000,,chr5:27574000-27575000,,,
chr14:53580000-53587000,,chr5:27592000-27593000,,,
chr14:53665000-53666000,,chr5:28172000-28174000,,,
chr14:53865000-53867000,,chr5:28448000-28450000,,,
chr14:53891000-53907000,,chr5:28455000-28456000,,,
chr14:53912000-53935000,,chr5:28488000-28490000,,,
chr14:53936000-53940000,,chr5:28492000-28493000,,,
chr14:53946000-53954000,,chr5:28501000-28502000,,,
chr14:54065000-54069000,,chr5:28505000-28507000,,,
chr14:54447000-54451000,,chr5:28539000-28543000,,,
chr14:54452000-54456000,,chr5:28788000-28796000,,,
chr14:54473000-54477000,,chr5:28797000-28798000,,,
chr14:54716000-54718000,,chr5:29798000-29800000,,,
chr14:54721000-54725000,,chr5:29802000-29806000,,,
chr14:54737000-54745000,,chr5:29808000-29811000,,,
chr14:55990000-55992000,,chr5:29816000-29818000,,,
chr14:56086000-56089000,,chr5:30029000-30030000,,,
chr14:56495000-56497000,,chr5:30069000-30071000,,,
chr14:56648000-56663000,,chr5:30444000-30448000,,,
chr14:56672000-56702000,,chr5:30611000-30613000,,,
chr14:59331000-59335000,,chr5:30742000-30743000,,,
chr14:60000000-60002000,,chr5:30894000-30895000,,,
chr14:60011000-60012000,,chr5:30898000-30900000,,,
chr14:60229000-60230000,,chr5:30989000-30991000,,,
chr14:60637000-60646000,,chr5:31140000-31142000,,,
chr14:61508000-61511000,,chr5:31166000-31167000,,,
chr14:61541000-61543000,,chr5:31193000-31200000,,,
chr14:62193000-62209000,,chr5:31221000-31223000,,,
chr14:62222000-62224000,,chr5:31369000-31373000,,,
chr14:62696000-62700000,,chr5:31393000-31394000,,,
chr14:62893000-62903000,,chr5:31412000-31416000,,,
chr14:64214000-64219000,,chr5:31476000-31477000,,,
chr14:64906000-64909000,,chr5:31528000-31531000,,,
chr14:65589000-65595000,,chr5:31764000-31767000,,,
chr14:66182000-66196000,,chr5:31873000-31875000,,,
chr14:68128000-68131000,,chr5:31905000-31912000,,,
chr14:68144000-68151000,,chr5:32397000-32399000,,,
chr14:68808000-68819000,,chr5:32408000-32411000,,,
chr14:68910000-68915000,,chr5:32494000-32495000,,,
chr14:68927000-68928000,,chr5:32894000-32895000,,,
chr14:68938000-68942000,,chr5:33047000-33048000,,,
chr14:69208000-69213000,,chr5:33350000-33351000,,,
chr14:69214000-69215000,,chr5:33420000-33422000,,,
chr14:69223000-69229000,,chr5:33532000-33535000,,,
chr14:69235000-69237000,,chr5:33627000-33629000,,,
chr14:69249000-69269000,,chr5:33747000-33752000,,,
chr14:69621000-69632000,,chr5:33760000-33761000,,,
chr14:71265000-71269000,,chr5:33818000-33819000,,,
chr14:73750000-73752000,,chr5:33829000-33830000,,,
chr14:75890000-75894000,,chr5:33834000-33835000,,,
chr14:78396000-78398000,,chr5:33836000-33837000,,,
chr14:78502000-78506000,,chr5:33844000-33858000,,,
chr14:83251000-83258000,,chr5:34009000-34010000,,,
chr14:92773000-92775000,,chr5:34012000-34013000,,,
chr14:97050000-97052000,,chr5:34040000-34041000,,,
chr14:100493000-100495000,,chr5:34048000-34050000,,,
chr14:101867000-101870000,,chr5:34603000-34606000,,,
chr14:103356000-103361000,,chr5:34643000-34644000,,,
chr14:103407000-103409000,,chr5:34842000-34844000,,,
chr14:104311000-104315000,,chr5:34866000-34868000,,,
chr14:104841000-104843000,,chr5:34952000-34956000,,,
chr14:110557000-110565000,,chr5:35396000-35397000,,,
chr14:113975000-113977000,,chr5:35420000-35422000,,,
chr14:115807000-115813000,,chr5:35595000-35598000,,,
chr14:117108000-117123000,,chr5:35705000-35710000,,,
chr14:117204000-117213000,,chr5:35714000-35717000,,,
chr14:117247000-117248000,,chr5:35842000-35843000,,,
chr14:117319000-117323000,,chr5:35995000-35997000,,,
chr14:118233000-118236000,,chr5:36056000-36059000,,,
chr14:118273000-118276000,,chr5:36087000-36089000,,,
chr14:120168000-120174000,,chr5:36106000-36108000,,,
chr14:121539000-121548000,,chr5:36554000-36555000,,,
chr14:121585000-121587000,,chr5:36910000-36911000,,,
chr14:121597000-121627000,,chr5:37001000-37002000,,,
chr14:123858000-123861000,,chr5:37118000-37119000,,,
chr15:5188000-5191000,,chr5:37156000-37159000,,,
chr15:6820000-6822000,,chr5:37174000-37176000,,,
chr15:10980000-10982000,,chr5:37270000-37271000,,,
chr15:13117000-13120000,,chr5:37304000-37305000,,,
chr15:26839000-26840000,,chr5:37316000-37318000,,,
chr15:27411000-27414000,,chr5:37329000-37331000,,,
chr15:27942000-27950000,,chr5:37373000-37381000,,,
chr15:27964000-27973000,,chr5:37451000-37452000,,,
chr15:28018000-28020000,,chr5:37529000-37538000,,,
chr15:30115000-30119000,,chr5:37624000-37628000,,,
chr15:30590000-30593000,,chr5:38260000-38261000,,,
chr15:31241000-31243000,,chr5:38564000-38567000,,,
chr15:31309000-31314000,,chr5:38607000-38609000,,,
chr15:34398000-34399000,,chr5:38943000-38945000,,,
chr15:34622000-34626000,,chr5:38973000-38980000,,,
chr15:35237000-35249000,,chr5:42043000-42044000,,,
chr15:37121000-37123000,,chr5:44096000-44097000,,,
chr15:37175000-37179000,,chr5:44155000-44159000,,,
chr15:37732000-37737000,,chr5:44235000-44238000,,,
chr15:38100000-38103000,,chr5:44388000-44391000,,,
chr15:38820000-38822000,,chr5:48271000-48275000,,,
chr15:38906000-38909000,,chr5:52401000-52402000,,,
chr15:40484000-40487000,,chr5:52656000-52658000,,,
chr15:44576000-44578000,,chr5:52760000-52761000,,,
chr15:44617000-44620000,,chr5:52764000-52766000,,,
chr15:44944000-44946000,,chr5:53198000-53200000,,,
chr15:54780000-54784000,,chr5:53337000-53338000,,,
chr15:55138000-55142000,,chr5:53546000-53547000,,,
chr15:57521000-57528000,,chr5:53554000-53557000,,,
chr15:57530000-57533000,,chr5:53754000-53759000,,,
chr15:57904000-57909000,,chr5:53762000-53763000,,,
chr15:58043000-58045000,,chr5:53830000-53832000,,,
chr15:60651000-60654000,,chr5:53843000-53852000,,,
chr15:60660000-60661000,,chr5:53855000-53856000,,,
chr15:64749000-64753000,,chr5:53958000-53961000,,,
chr15:65577000-65578000,,chr5:54283000-54285000,,,
chr15:67005000-67007000,,chr5:63928000-63930000,,,
chr15:71557000-71560000,,chr5:64209000-64213000,,,
chr15:72373000-72375000,,chr5:64232000-64233000,,,
chr15:75531000-75538000,,chr5:64438000-64439000,,,
chr15:75713000-75716000,,chr5:64670000-64674000,,,
chr15:75719000-75722000,,chr5:65018000-65019000,,,
chr15:75737000-75739000,,chr5:65076000-65083000,,,
chr15:75823000-75827000,,chr5:65088000-65090000,,,
chr15:75915000-75919000,,chr5:65094000-65096000,,,
chr15:76005000-76010000,,chr5:65097000-65099000,,,
chr15:76122000-76125000,,chr5:65100000-65106000,,,
chr15:76841000-76842000,,chr5:65140000-65142000,,,
chr15:78236000-78239000,,chr5:65348000-65349000,,,
chr15:78366000-78368000,,chr5:65386000-65387000,,,
chr15:78498000-78502000,,chr5:65454000-65455000,,,
chr15:78543000-78547000,,chr5:65658000-65660000,,,
chr15:78669000-78671000,,chr5:65695000-65696000,,,
chr15:78794000-78795000,,chr5:65816000-65817000,,,
chr15:78984000-79002000,,chr5:65976000-65977000,,,
chr15:79079000-79082000,,chr5:66004000-66005000,,,
chr15:79087000-79090000,,chr5:66190000-66192000,,,
chr15:79627000-79630000,,chr5:66234000-66235000,,,
chr15:80399000-80401000,,chr5:66244000-66251000,,,
chr15:80439000-80440000,,chr5:66255000-66256000,,,
chr15:80497000-80500000,,chr5:66260000-66261000,,,
chr15:81061000-81066000,,chr5:66271000-66273000,,,
chr15:81522000-81525000,,chr5:66274000-66275000,,,
chr15:81892000-81901000,,chr5:66283000-66285000,,,
chr15:84151000-84154000,,chr5:66305000-66307000,,,
chr15:84844000-84847000,,chr5:66333000-66334000,,,
chr15:84959000-84962000,,chr5:66348000-66350000,,,
chr15:85318000-85320000,,chr5:66356000-66358000,,,
chr15:85321000-85325000,,chr5:66360000-66362000,,,
chr15:85326000-85328000,,chr5:66419000-66420000,,,
chr15:85362000-85368000,,chr5:66428000-66432000,,,
chr15:85402000-85410000,,chr5:66494000-66498000,,,
chr15:85442000-85443000,,chr5:66539000-66540000,,,
chr15:85452000-85457000,,chr5:66616000-66617000,,,
chr15:85475000-85476000,,chr5:66621000-66623000,,,
chr15:85488000-85500000,,chr5:66753000-66757000,,,
chr15:85563000-85564000,,chr5:66873000-66876000,,,
chr15:85648000-85651000,,chr5:66881000-66884000,,,
chr15:87370000-87374000,,chr5:66897000-66900000,,,
chr15:87453000-87456000,,chr5:66956000-66958000,,,
chr15:88781000-88784000,,chr5:67276000-67277000,,,
chr15:88810000-88811000,,chr5:67376000-67380000,,,
chr15:88895000-88898000,,chr5:67495000-67496000,,,
chr15:88971000-88977000,,chr5:67501000-67503000,,,
chr15:89204000-89208000,,chr5:67743000-67744000,,,
chr15:89214000-89217000,,chr5:67886000-67889000,,,
chr15:89284000-89287000,,chr5:69619000-69621000,,,
chr15:89325000-89332000,,chr5:71979000-71981000,,,
chr15:89350000-89353000,,chr5:72782000-72784000,,,
chr15:89374000-89378000,,chr5:72866000-72867000,,,
chr15:89384000-89388000,,chr5:73147000-73148000,,,
chr15:92224000-92227000,,chr5:73286000-73287000,,,
chr15:93196000-93199000,,chr5:73469000-73470000,,,
chr15:93332000-93370000,,chr5:73511000-73512000,,,
chr15:93422000-93425000,,chr5:73617000-73618000,,,
chr15:95355000-95357000,,chr5:73685000-73686000,,,
chr15:95481000-95483000,,chr5:73698000-73699000,,,
chr15:96351000-96353000,,chr5:73781000-73783000,,,
chr15:97594000-97603000,,chr5:74226000-74227000,,,
chr15:97657000-97662000,,chr5:74347000-74348000,,,
chr15:97828000-97834000,,chr5:74359000-74360000,,,
chr15:97995000-97999000,,chr5:74408000-74409000,,,
chr15:98123000-98125000,,chr5:74985000-74986000,,,
chr15:98420000-98439000,,chr5:75015000-75016000,,,
chr15:98598000-98609000,,chr5:75348000-75350000,,,
chr15:98622000-98638000,,chr5:75352000-75353000,,,
chr15:98721000-98727000,,chr5:75357000-75358000,,,
chr15:98914000-98927000,,chr5:75365000-75368000,,,
chr15:99407000-99420000,,chr5:75430000-75436000,,,
chr15:99498000-99500000,,chr5:75856000-75857000,,,
chr15:100405000-100416000,,chr5:76259000-76261000,,,
chr15:100426000-100431000,,chr5:77379000-77380000,,,
chr15:100556000-100563000,,chr5:77438000-77439000,,,
chr15:100697000-100702000,,chr5:77931000-77934000,,,
chr15:100811000-100814000,,chr5:77943000-77945000,,,
chr15:100836000-100847000,,chr5:78000000-78001000,,,
chr15:100848000-100855000,,chr5:78028000-78031000,,,
chr15:100865000-100883000,,chr5:78090000-78092000,,,
chr15:100904000-100907000,,chr5:78162000-78163000,,,
chr15:100956000-100959000,,chr5:78286000-78287000,,,
chr15:101240000-101242000,,chr5:78324000-78326000,,,
chr15:101265000-101266000,,chr5:78332000-78341000,,,
chr15:101853000-101857000,,chr5:78343000-78353000,,,
chr15:101971000-101974000,,chr5:78429000-78430000,,,
chr15:102184000-102190000,,chr5:78432000-78435000,,,
chr15:102196000-102199000,,chr5:78482000-78483000,,,
chr15:102571000-102576000,,chr5:87141000-87142000,,,
chr15:102914000-102916000,,chr5:90602000-90603000,,,
chr15:102930000-102932000,,chr5:91715000-91717000,,,
chr15:103137000-103139000,,chr5:91966000-91967000,,,
chr15:103330000-103333000,,chr5:92593000-92595000,,,
chr16:4332000-4335000,,chr5:93173000-93175000,,,
chr16:4764000-4768000,,chr5:93178000-93179000,,,
chr16:5800000-5802000,,chr5:93186000-93187000,,,
chr16:9902000-9911000,,chr5:93202000-93205000,,,
chr16:10224000-10229000,,chr5:93314000-93316000,,,
chr16:10259000-10263000,,chr5:93324000-93326000,,,
chr16:10306000-10309000,,chr5:93353000-93354000,,,
chr16:10414000-10416000,,chr5:93467000-93468000,,,
chr16:10667000-10676000,,chr5:93677000-93679000,,,
chr16:10702000-10707000,,chr5:93750000-93751000,,,
chr16:10960000-10961000,,chr5:93757000-93759000,,,
chr16:10979000-10982000,,chr5:93871000-93873000,,,
chr16:13355000-13363000,,chr5:93884000-93885000,,,
chr16:14205000-14208000,,chr5:93993000-93997000,,,
chr16:17191000-17194000,,chr5:93999000-94003000,,,
chr16:17481000-17482000,,chr5:94016000-94019000,,,
chr16:17489000-17491000,,chr5:94025000-94028000,,,
chr16:17709000-17724000,,chr5:94062000-94065000,,,
chr16:17729000-17732000,,chr5:94080000-94082000,,,
chr16:17744000-17748000,,chr5:94119000-94121000,,,
chr16:17749000-17752000,,chr5:97033000-97035000,,,
chr16:18036000-18049000,,chr5:97631000-97633000,,,
chr16:18105000-18110000,,chr5:98175000-98176000,,,
chr16:18491000-18510000,,chr5:98407000-98414000,,,
chr16:18515000-18544000,,chr5:99095000-99096000,,,
chr16:18688000-18693000,,chr5:99969000-99970000,,,
chr16:20154000-20158000,,chr5:100146000-100148000,,,
chr16:20505000-20506000,,chr5:100279000-100280000,,,
chr16:20532000-20536000,,chr5:100284000-100289000,,,
chr16:20608000-20610000,,chr5:100319000-100321000,,,
chr16:20645000-20654000,,chr5:100663000-100668000,,,
chr16:21153000-21156000,,chr5:100959000-100961000,,,
chr16:21157000-21166000,,chr5:101006000-101008000,,,
chr16:21223000-21226000,,chr5:101888000-101889000,,,
chr16:21317000-21318000,,chr5:101899000-101900000,,,
chr16:21606000-21614000,,chr5:101903000-101909000,,,
chr16:22571000-22573000,,chr5:101944000-101945000,,,
chr16:22691000-22694000,,chr5:102005000-102007000,,,
chr16:22708000-22714000,,chr5:102085000-102089000,,,
chr16:23138000-23142000,,chr5:102091000-102093000,,,
chr16:23895000-23903000,,chr5:102101000-102103000,,,
chr16:25783000-25785000,,chr5:102123000-102126000,,,
chr16:26020000-26023000,,chr5:102127000-102129000,,,
chr16:26285000-26287000,,chr5:102177000-102178000,,,
chr16:26496000-26498000,,chr5:102246000-102248000,,,
chr16:26882000-26884000,,chr5:102295000-102297000,,,
chr16:28360000-28363000,,chr5:102721000-102723000,,,
chr16:29129000-29130000,,chr5:103895000-103897000,,,
chr16:30063000-30066000,,chr5:103904000-103906000,,,
chr16:30169000-30170000,,chr5:103933000-103935000,,,
chr16:30227000-30231000,,chr5:103939000-103941000,,,
chr16:30332000-30334000,,chr5:103961000-103967000,,,
chr16:30520000-30522000,,chr5:103977000-103978000,,,
chr16:31799000-31810000,,chr5:104054000-104055000,,,
chr16:31853000-31857000,,chr5:104243000-104244000,,,
chr16:32084000-32086000,,chr5:104260000-104266000,,,
chr16:33602000-33607000,,chr5:104359000-104361000,,,
chr16:34275000-34278000,,chr5:104674000-104678000,,,
chr16:34492000-34495000,,chr5:104706000-104708000,,,
chr16:35075000-35082000,,chr5:105940000-105943000,,,
chr16:35084000-35086000,,chr5:105947000-105949000,,,
chr16:35324000-35325000,,chr5:105971000-105973000,,,
chr16:35459000-35464000,,chr5:106018000-106019000,,,
chr16:35569000-35583000,,chr5:106076000-106077000,,,
chr16:36479000-36482000,,chr5:106692000-106695000,,,
chr16:37834000-37837000,,chr5:106704000-106712000,,,
chr16:37924000-37927000,,chr5:106801000-106802000,,,
chr16:38169000-38175000,,chr5:107961000-107968000,,,
chr16:38223000-38230000,,chr5:108301000-108305000,,,
chr16:38292000-38297000,,chr5:108313000-108319000,,,
chr16:38401000-38404000,,chr5:108688000-108690000,,,
chr16:38526000-38529000,,chr5:108759000-108760000,,,
chr16:38594000-38595000,,chr5:108790000-108791000,,,
chr16:38627000-38633000,,chr5:108917000-108919000,,,
chr16:39903000-39905000,,chr5:109015000-109016000,,,
chr16:43522000-43524000,,chr5:109790000-109797000,,,
chr16:44249000-44255000,,chr5:110036000-110037000,,,
chr16:44371000-44373000,,chr5:110084000-110086000,,,
chr16:44472000-44480000,,chr5:110326000-110327000,,,
chr16:52370000-52373000,,chr5:110338000-110348000,,,
chr16:57312000-57314000,,chr5:110525000-110526000,,,
chr16:63806000-63807000,,chr5:110582000-110585000,,,
chr16:65046000-65048000,,chr5:110594000-110596000,,,
chr16:67535000-67539000,,chr5:110603000-110605000,,,
chr16:71910000-71913000,,chr5:110618000-110620000,,,
chr16:74293000-74296000,,chr5:110626000-110628000,,,
chr16:78118000-78125000,,chr5:110656000-110657000,,,
chr16:78141000-78152000,,chr5:110676000-110679000,,,
chr16:78813000-78815000,,chr5:110688000-110690000,,,
chr16:84585000-84587000,,chr5:110707000-110714000,,,
chr16:85055000-85059000,,chr5:110721000-110723000,,,
chr16:85691000-85693000,,chr5:110784000-110787000,,,
chr16:85788000-85792000,,chr5:110788000-110791000,,,
chr16:87501000-87502000,,chr5:110879000-110880000,,,
chr16:88178000-88180000,,chr5:111041000-111050000,,,
chr16:89786000-89788000,,chr5:111516000-111518000,,,
chr16:90031000-90032000,,chr5:111526000-111528000,,,
chr16:90274000-90280000,,chr5:111658000-111662000,,,
chr16:90719000-90724000,,chr5:111749000-111751000,,,
chr16:90726000-90729000,,chr5:111872000-111873000,,,
chr16:90731000-90732000,,chr5:111993000-111995000,,,
chr16:91107000-91123000,,chr5:112002000-112003000,,,
chr16:91158000-91162000,,chr5:112419000-112421000,,,
chr16:91295000-91296000,,chr5:112446000-112450000,,,
chr16:91435000-91437000,,chr5:112454000-112458000,,,
chr16:91872000-91874000,,chr5:112468000-112469000,,,
chr16:92046000-92049000,,chr5:112487000-112489000,,,
chr16:92385000-92389000,,chr5:112506000-112507000,,,
chr16:92494000-92496000,,chr5:112520000-112525000,,,
chr16:92584000-92590000,,chr5:112531000-112533000,,,
chr16:93974000-93979000,,chr5:112547000-112550000,,,
chr16:94235000-94237000,,chr5:112565000-112566000,,,
chr16:94411000-94413000,,chr5:112631000-112633000,,,
